question_number,question,optionA,optionB,optionC,optionD,CorrectAnswer
1,What should you do as you approach this lorry?,Slow down and be prepared to wait,Make the lorry wait for you,Flash your lights at the lorry,Move to the right-hand side of the road,Slow down and be prepared to wait
2,You're driving towards a zebra crossing. What should you do if a person in a wheelchair is waiting to cross?,Continue on your way,Wave to the person to cross,Wave to the person to wait,Be prepared to stop,Be prepared to stop
3,Why should you allow extra room while overtaking a motorcyclist on a windy day?,The rider may turn off suddenly to get out of the wind,The rider may be blown in front of you,The rider may stop suddenly,The rider may be travelling faster than normal,The rider may be blown in front of you
4,Which colour follows the green signal at a puffin crossing?,Steady red,Flashing amber,Steady amber,Flashing green,Steady amber
5,You're following 2 cyclists as they approach a roundabout in the left-hand lane. Where would you expect the cyclists to go?,Left,Right,Any direction,Straight ahead,Any direction
6,You've been involved in an argument that's made you feel angry. What should you do before starting your journey?,Open a window,Turn on your radio,Have an alcoholic drink,Calm down,Calm down
7,What should you do if your anti-lock braking system (ABS) warning light stays on?,Check the brake-fluid level,Check the footbrake free play,Check that the parking brake is released,Have the brakes checked immediately,Have the brakes checked immediately
8,Which instrument-panel warning light would show that headlights are on main beam?,,,,,REQUIRES OPTIONS (image-based)
9,You're driving towards this left-hand bend. What danger should you be anticipating?,A vehicle overtaking you,Mud on the road,The road getting narrower,Pedestrians walking towards you,Mud on the road
10,When would you use the right-hand lane on a three-lane motorway?,When you're turning right,When you're overtaking,When you're travelling above the speed limit,When you're trying to save fuel,When you're overtaking
11,You wish to tow a trailer. Where would you find the maximum noseweight for your vehicle’s tow hitch?,In the vehicle handbook,In The Highway Code,In your vehicle registration certificate,In your licence documents,In the vehicle handbook
12,What should you do when you leave your car unattended for a few minutes?,Leave the engine running,Switch the engine off but leave the key in,Lock it and remove the key,Park near a traffic warden,Lock it and remove the key
13,Why is it dangerous to travel too close to the vehicle ahead?,Your engine will overheat,Your mirrors will need adjusting,Your view of the road ahead will be restricted,Your sat nav will be confused,Your view of the road ahead will be restricted
14,You've just passed your first practical driving or riding test. What will you have to do if you get 6 penalty points on your licence in the next 2 years?,Retake only your theory test,Retake your theory and practical tests,Retake only your practical test,Reapply for your full licence immediately,Retake your theory and practical tests
15,How can you use your vehicle's engine to control your speed?,By changing to a lower gear,By selecting reverse gear,By changing to a higher gear,By selecting neutral,By changing to a lower gear
16,What shape are traffic signs giving orders?,,,,,Circular (traffic signs giving orders)
17,Why is it important to make full use of the slip road as you join a motorway?,Because there's space available to turn round if you need to,To allow you direct access to the overtaking lanes,To allow you to fit safely into the traffic flow in the left-hand lane,Because you can continue on the hard shoulder,To allow you to fit safely into the traffic flow in the left-hand lane
18,You're in a built-up area at night and the road is well lit. Why should you use dipped headlights?,So that you can see further along the road,So that you can go at a much faster speed,So that you can switch to main beam quickly,So that you can be easily seen by others,So that you can be easily seen by others
19,You take some cough medicine given to you by a friend. What should you do before driving your car?,Ask your friend if taking the medicine affected their driving,Drink some strong coffee one hour before driving,Check the label to see if the medicine will affect your driving,Drive a short distance to see if the medicine is affecting your driving,Check the label to see if the medicine will affect your driving
20,You wish to turn right ahead. Why should you take up the correct position in good time?,To allow other drivers to pull out in front of you,To give a better view into the road that you're joining,To help other road users know what you intend to do,To allow drivers to pass you on the right,To help other road users know what you intend to do
21,You're following a long vehicle approaching a crossroads. What should you do if the driver signals right but moves close to the left-hand kerb?,Warn the driver about the wrong signal,Wait behind the long vehicle,Report the driver to the police,Overtake on the right-hand side,Wait behind the long vehicle
22,What should you do when you move off from behind a parked car?,Give a signal after moving off,Look around before moving off,Look around after moving off,Use the exterior mirrors only,Look around before moving off
23,What should you do if the vehicle starts reversing off the driveway?,Move to the opposite side of the road,Drive through as you have priority,Sound your horn and be prepared to stop,Speed up and drive through quickly,Sound your horn and be prepared to stop
